"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,432,20,79.1794915218827,69.1068645364665,75.6911764705882,83.5341176470588,0.9955,0.6749,"0.9979"
1,432,24,38.3523632245333,25.0853297122823,26.4444444444444,22.6584615384615,0.545,0.5638,"0.9001"
1,432,28,36.5195211417847,22.3389994417535,21.5308641975309,19.7644444444444,0.5091,0.7098,"0.7596"
1,433,12,61.3086938610633,55.5916434188839,65.5217391304348,62.055652173913,0.9974,0.9968,"0.9991"
1,433,16,58.9055186853627,32.0015332170732,37.3421052631579,31.3473684210526,0.4448,0.7121,"0.7787"
1,433,20,36.4423336484583,29.9619548429991,34.8296296296296,30.16,0.7833,0.769,"0.8578"
1,433,24,37.0957404427368,35.1179788747935,39.3838383838384,36.9927272727273,0.7988,0.6291,"0.6756"
1,433,28,50.9000114826466,49.8409604330332,56,53.2971428571428,0.0915,0.1406,"0.4352"
1,434,12,5458.04721983233,2245.44054969712,2642.07,2497.3824,0.8745,0.0143,"0.0327"
1,434,20,1563.85032159646,864.036755879949,895.052287581699,916.461176470588,0.0041,0.1788,"0.0021"
1,434,24,1841.19017575244,539.725620294923,620.65811965812,634.618461538462,0.0012,0,"0"
1,434,28,728.031977122567,560.823227107543,573.098765432099,648.533333333333,4e-04,0,"1e-04"
1,435,12,32956.6645525231,8410.45833333333,11723.0651041667,13666.34375,0.9949,0.2434,"0"
1,435,16,8111.66166749223,7616.85,6170.19375,8484.34861111111,0.3743,0.0207,"0.1605"
1,435,20,3374.264043049,3625.34817259977,4298.73828125,6186.625,0.5538,0.3037,"0.2245"
1,435,24,3863.63951744932,4420.64008664631,5130.86458333333,7680.70833333333,0.2931,0.0021,"0.0074"
1,435,28,5589.52542063591,6609.66663035622,7526.5859375,11336.4861111111,0,2e-04,"9e-04"
1,436,12,545.831302221747,597.869547375781,616.461956521739,641.057391304348,0.9843,0.9388,"0.5641"
1,436,16,660.61765119105,307.13154600914,327.815789473684,286.911578947368,0.9969,0.7356,"0.7304"
1,436,20,63.3456677723501,60.6608272298745,92.2740740740741,85.3973333333333,0.9601,0.8158,"0.8174"
1,436,24,65.8410920677805,41.4264177527506,47.2525252525253,43.2363636363636,0.977,0.8777,"0.8507"
1,436,28,37.4263446322751,21.0678267020927,19.6339285714286,19.2914285714286,0.746,0.6913,"0.9045"
1,437,12,6450.36091124068,4701.46408321011,3411.41777777778,3339.5088,0.9848,0.8915,"0.4727"
1,437,16,4702.62338845798,1564.61904761905,1598.95767195767,1698.74285714286,0.2296,0.2423,"0.1236"
1,437,20,965.396986421744,1082.83590797911,1539.28758169935,1730.55058823529,0.7198,0.5299,"0.2041"
1,437,24,963.299413026087,1020.77010579992,1235.1875,1332.20307692308,0.2319,0.2135,"0"
1,437,28,1234.38636844021,1288.71295411536,1577.86805555556,1706.33333333333,0.0303,0.0085,"0"
1,438,12,209.584384342339,158.738929321991,131.115,129.6432,0.9678,0.8347,"0.3724"
1,438,16,159.77346976315,141.946353411353,130.466666666667,130.466666666667,0.4566,0.963,"No need to compare!"
1,438,20,120.764534214676,84.3548598243279,86.8823529411765,64.7035294117647,0.3963,0.1332,"0.5386"
1,438,24,14.4378366795222,14.4709878377641,13.8125,14.5753846153846,0.5833,0.5518,"0.2506"
1,438,28,18.6516012446232,18.9339075809102,18.4097222222222,19.1377777777778,0.0376,0.0684,"0.2661"
1,439,12,221.760207947887,303.020866616349,270.408888888889,389.3275,0.9981,0.3222,"0.2899"
1,439,16,347.198017299968,149.428571428571,82.4338624338624,62.8452380952381,0.0133,2e-04,"0"
1,439,20,50.8200387028955,34.4902211932338,29.6797385620915,25.7610294117647,0.0031,1e-04,"2e-04"
1,439,24,44.5697834622188,28.9705539888959,27.8205128205128,27.0865384615385,0,0,"0"
1,439,28,42.3461107932654,36.1542464559213,34.7407407407407,35.1666666666667,0,0,"0"
1,440,12,228.356924360506,186.333204555939,150.1925,127.5904,0.9713,0.9795,"0.982"
1,440,20,48.1949430394569,52.054625955359,48.5228758169934,44.0070588235294,0.8231,0.7685,"0.8098"
1,440,24,18.283068608269,10.3002254949849,9.74358974358974,8.78461538461538,0.5324,0.2063,"0.3058"
1,440,28,6.5743807650622,5.4444851633091,4.61728395061728,5.32,0.2044,0.3155,"0.1586"
1,441,12,607.847572415465,136.656064889942,151.711111111111,145.2976,0.8677,0.8934,"0.6831"
1,441,16,122.246355582343,121,125.719576719577,123.638095238095,0.9859,0.828,"0.7439"
1,441,20,95.3800527260429,88.6451360593986,79.7867647058823,72.0611764705882,0.9602,0.9534,"0.0357"
1,441,24,26.3046923842696,22,22.2740384615385,18.0615384615385,0.964,0.8421,"0.0116"
1,442,16,989.902076685217,378.863237711313,281.068783068783,357.15619047619,0.527,0.5299,"0.2162"
1,442,20,484.142146861656,81,84.921568627451,85.28,0.0097,0.0141,"1e-04"
1,442,24,84.7111712210073,53.4615384615384,51.8461538461538,47.9476923076923,0.1629,0.3425,"0"
1,442,28,45.6122130915283,33.8888888888889,32.9382716049383,29.8666666666667,0.0115,0.2099,"2e-04"
1,443,16,8200.36774299335,1528.52380952381,897.47619047619,1534.14476190476,0.0056,0.0048,"0.0027"
1,443,20,842.933105321052,1071.0711830297,935.088235294118,1545.21176470588,0.1482,0.0639,"0.0679"
1,443,24,737.948489895621,1368.86392859869,1079.69230769231,1966.98153846154,0.0078,0.0161,"0.0244"
1,443,28,885.939192655105,1861.11222176625,1462.30555555556,2701.64888888889,9e-04,4e-04,"0.0025"
1,444,16,584033.722960638,155614.929280084,123739.353333333,111131.320861678,0,0.0245,"0"
1,444,20,55090.4700064248,35124.7845699386,39509.6514285714,38609.0714285714,0.0259,0,"0"
1,444,28,14458.1119432911,46616.495980741,51720.8266666667,49914.6428571428,0,0,"0"
1,445,12,3318.45023726564,2927.53400369525,2950.89,3499.608,0.9756,0.969,"0.9904"
1,445,16,3116.90304134695,2564.71428571429,2487.16666666667,2857.16,0.9539,0.9144,"0.5101"
1,445,20,671.769991079942,505.212261655441,423.16339869281,450.604705882353,0.5843,0.163,"0.3146"
