,X,Year,Actual,Forecaster15,Forecaster16,Forecaster24,Forecaster37,Forecaster39,Forecaster89,Forecaster93,Forecaster94,Forecaster95,targettime,predtime,aheadtime
72,2006_2004Q3,2,2.183333333,1.75,1.9,2,2,1.9,2,1.8,2.1,1.8,2006,2004Q3,Q3_2
73,2006_2004Q4,2,2.183333333,1.8,1.9,1.9,2,2,1.9,1.8,2.1,1.8,2006,2004Q4,Q4_2
74,2006_2005Q1,1,2.183333333,1.8,1.7,1.9,2,1.7,2.1,1.7,2.1,1.8,2006,2005Q1,Q1_1
75,2006_2005Q2,1,2.183333333,1.75,1.7,1.9,2,1.8,1.9,1.9,1.929944448,1.8,2006,2005Q2,Q2_1
76,2006_2005Q3,1,2.183333333,1.848623271,1.6,2,2.1,1.7,2,1.811212533,1.8,1.8,2006,2005Q3,Q3_1
77,2006_2005Q4,1,2.183333333,1.9,1.9,2.1,2.1,2,2.2,2.2,1.9,2,2006,2005Q4,Q4_1
78,2006Dec_2005Q1,1,1.9,1.8,1.8,1.9,2,1.9,2.2,1.7,2,1.8,2006Dec,2005Q1,Q1_DEC
79,2006Jun_2004Q3,2,2.5,1.7,2,1.8,2.2,2,1.9,1.8,2,1.8,2006Jun,2004Q3,Q3_JUN_2
80,2006Jun_2005Q3,1,2.5,1.856368669,1.8,2,2,1.7,1.8,1.864831387,1.8,1.9,2006Jun,2005Q3,Q3_JUN
81,2006Mar_2004Q2,2,2.2,1.5,2,1.8,2,1.9,1.8,1.8,2.1,1.6,2006Mar,2004Q2,Q2_MAR_2
82,2006Mar_2005Q2,1,2.2,1.8,1.8,1.8,2,2.1,1.7,1.7,1.892784944,1.8,2006Mar,2005Q2,Q2_MAR
83,2006Sep_2004Q4,2,1.8,1.8,2,1.9,2,2.1,1.8,1.8,2,1.8,2006Sep,2004Q4,Q4_SEP_2
84,2006Sep_2005Q4,1,1.8,1.8,1.7,1.5,1.7,1.7,1.9,2.2,2,2.2,2006Sep,2005Q4,Q4_SEP
85,2007_2005Q3,2,2.125,1.709602438,1.8,1.6,2,1.9,2,1.785273197,1.8,1.8,2007,2005Q3,Q3_2
86,2007_2005Q4,2,2.125,1.7,1.9,1.7,2,1.9,2.1,2,1.8,1.8,2007,2005Q4,Q4_2
87,2007_2006Q1,1,2.125,1.7,2,2.1,2.1,2.2,2.2,2,1.9,2,2007,2006Q1,Q1_1
88,2007_2006Q2,1,2.125,1.9,1.9,2.2,2.2,2.2,2.3,2,2.1,2,2007,2006Q2,Q2_1
89,2007_2006Q3,1,2.125,1.9,1.9,2.204891494,2.2,2.3,2.2,2,2.2,2.2,2007,2006Q3,Q3_1
90,2007_2006Q4,1,2.125,1.9,1.9,2.204891494,2.1,2.3,2,2.2,2.2,2.2,2007,2006Q4,Q4_1
91,2007Dec_2006Q1,1,3.1,1.6,1.8,2,2.2,2.2,1.8,2,1.9,2,2007Dec,2006Q1,Q1_DEC
92,2007Jun_2005Q3,2,1.9,1.747581958,1.8,1.6,2.2,1.9,2,1.825171142,1.8,1.8,2007Jun,2005Q3,Q3_JUN_2
93,2007Jun_2006Q3,1,1.9,1.8,1.9,2.2,2,2.3,2,2.2,2.2,2.1,2007Jun,2006Q3,Q3_JUN
94,2007Mar_2005Q2,2,1.9,1.8,1.7,1.7,2,1.9,1.9,2,1.998962234,1.8,2007Mar,2005Q2,Q2_MAR_2
95,2007Mar_2006Q2,1,1.9,2,1.9,2.3,2,2.5,2.4,2.3,2.2,2.2,2007Mar,2006Q2,Q2_MAR
96,2007Sep_2005Q4,2,2.1,1.6,1.8,1.8,1.8,1.9,2.1,2,1.8,1.8,2007Sep,2005Q4,Q4_SEP_2
97,2007Sep_2006Q4,1,2.1,1.8,1.8,2.1,2,2.5,2.2,2.2,2.3,2.2,2007Sep,2006Q4,Q4_SEP
98,2010_2008Q3,2,1.608333333,2,2.1,1.9,2.2,1.997059602,2.1,2,1.5,2.3,2010,2008Q3,Q3_2
99,2010_2008Q4,2,1.608333333,2,2.1,1.9,2.00125535,2.1,2,2,1.8,1.9,2010,2008Q4,Q4_2
100,2010_2009Q1,1,1.608333333,1.7,2,2,1,1.8,1.9,2.1,1.2,1.9,2010,2009Q1,Q1_1
101,2010_2009Q2,1,1.608333333,1.3,1.2,1.8,1.3,1.3,1.475451976,2,0.9,1.2,2010,2009Q2,Q2_1
102,2010_2009Q3,1,1.608333333,1.25,1.1,0.7,1.1,1.4,1.3,2,0.9,1.7,2010,2009Q3,Q3_1
103,2010_2009Q4,1,1.608333333,1.25,1.2,1.333154749,1.1,1.5,1.2,1.7,0.9,1.6717851,2010,2009Q4,Q4_1
104,2010Dec_2009Q1,1,2.2,1.75,1.9,2.2,1.6,2,1.9,2.3,1.5,1.7,2010Dec,2009Q1,Q1_DEC
105,2010Jun_2008Q3,2,1.5,2,2.1,1.9,2.2,1.939992265,2.1,2,1.3,1.9,2010Jun,2008Q3,Q3_JUN_2
106,2010Jun_2009Q3,1,1.5,1.5,1.3,0.7,0.8,1.5,1.2,2.1,0.8,1.8,2010Jun,2009Q3,Q3_JUN
107,2010Mar_2008Q2,2,1.6,1.8,1.9,1.8,1.8,2,2.1,2,1.9,1.9,2010Mar,2008Q2,Q2_MAR_2
108,2010Mar_2009Q2,1,1.6,1.2,1,1.5,1.3,0.9,1.320555604,1.8,1,1.4,2010Mar,2009Q2,Q2_MAR
109,2010Sep_2008Q4,2,1.9,2,2.3,1.8,1.919287316,2,1.9,2,1.8,1.8,2010Sep,2008Q4,Q4_SEP_2
110,2010Sep_2009Q4,1,1.9,1.5,1.2,1.340037961,1.3,1.8,1.35,1.7,0.4,1.53538602,2010Sep,2009Q4,Q4_SEP
111,2011_2009Q3,2,2.708333333,1.6,1.2,1.6,1.8,1.7,1.6,2,1.2,2,2011,2009Q3,Q3_2
112,2011_2009Q4,2,2.708333333,1.6,1.2,1.564248996,2,1.5,1.6,2,1.1,1.803287431,2011,2009Q4,Q4_2
113,2011_2010Q1,1,2.708333333,1.4,2,1.3,2.01,1.5,1.6,2,1.2,1.77041928,2011,2010Q1,Q1_1
114,2011_2010Q2,1,2.708333333,1.6,2,1.3,1.5,1.4,1.6,1.7,1.3,1.77042,2011,2010Q2,Q2_1
115,2011_2010Q3,1,2.708333333,1.6,1.7,1.6,1.7,1.6,1.6,1.8,1,1.5415,2011,2010Q3,Q3_1
116,2011_2010Q4,1,2.708333333,1.6,1.8,1.7,1.7,1.6,1.6,1.8,1.2,1.679,2011,2010Q4,Q4_1
