"condition","judge_draws","judgments_draw","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,2,68,16,32609.7041767784,32449.2974039809,29927.4907407407,24056.35,0.9798,0.9793,"0.9935"
1,2,69,16,29700.0048017753,23639.0359937852,23133.9305555555,15774.3016666667,0.997,0.9875,"0.9751"
1,2,70,16,71536.2182793563,25366.9011808661,22470.4074074074,15489.9116666667,0.9858,0.9412,"0.9839"
1,2,71,16,77217.8102524883,44729.5439272449,31584.6666666667,13713.34,0.9499,0.7178,"0.9921"
1,2,72,16,95113.1498561896,35851.8414573577,39057.0740740741,25360.8866666667,0.9911,0.9989,"0.9999"
1,2,73,16,36466.0029112957,36478.2343751671,29795.1633333333,29795.1633333333,0.9954,0.9846,"No need to compare!"
1,2,74,16,86682.0178562246,44391.0704322479,33324.337962963,23820.3433333333,0.945,0.9919,"0.9959"
1,2,75,16,21905.2666671301,21898.2488724644,25480.875,20987.3983333333,0.9548,0.9575,"0.9887"
1,2,76,16,25614.4319205125,25423.2814277796,23555.2291666667,23433.165,0.9917,0.9908,"0.9829"
1,2,77,16,29127.2629975423,21979.1991162833,24322.8842592593,18846.975,0.9921,0.9903,"0.9944"
1,2,78,16,25248.9140582321,25126.7891897443,27935.0092592593,23078.7283333333,0.9938,0.994,"0.9979"
1,2,79,16,21351.6610161733,21336.6935116085,21283.085,21283.085,0.9978,1,"No need to compare!"
1,2,80,16,29151.9001880265,28983.7232381992,28997.2638888889,22488.3133333333,0.9912,0.993,"0.9944"
1,2,81,16,38082.4170496824,38258.7024857783,24043.0116666667,24043.0116666667,0.9987,0.9976,"No need to compare!"
1,2,82,16,59578.2999453005,50416.6097134572,29324.39,29324.39,0.7135,0.8852,"No need to compare!"
1,2,83,16,30919.8168345603,27956.7289558359,24721.8333333333,24721.8333333333,0.9535,0.9892,"No need to compare!"
1,2,84,16,25749.2749339514,26406.4488774386,13026.8533333333,13026.8533333333,0.9895,0.9074,"No need to compare!"
1,2,85,16,29973.6670200273,29516.0448559646,28960.8425925926,23442.8183333333,0.9963,0.9947,"0.9933"
1,2,86,16,298155.69802174,46032.6715509228,22234.8266666667,22234.8266666667,0.8005,0.6451,"No need to compare!"
1,2,87,16,26239.0079901476,25921.6139682847,26060.6898148148,20049.645,0.9955,0.993,"0.9997"
1,2,88,16,356977.758629612,63506.1685217265,45903.0729166667,26031.6183333333,0.9911,0.9955,"1"
1,2,89,16,14867.6270817792,15116.8704987992,11169.1223958333,10196.75,0.9982,0.9911,"0.9976"
1,2,90,16,27764.8976865076,27717.548307219,24942.2638888889,15146.805,0.9951,0.9571,"0.9968"
1,2,91,16,21407.9466880017,21397.9958579051,18837.24,18837.24,0.9957,0.9981,"No need to compare!"
1,2,92,16,24404.7080915901,25221.5476883738,23086.0925925926,20118.2366666667,0.996,0.9996,"0.9922"
1,2,93,16,20935.5871970152,19754.9345122882,33234.7083333333,11900.79,0.9945,0.9986,"0.9991"
1,2,94,16,97667.5023363243,29764.8465146846,26964.5130208333,25294.7,0.9927,0.902,"0.9675"
1,2,95,16,18070.2820429225,18355.8097090968,16037.4869791667,14167.905,0.998,0.9993,"0.9987"
1,2,96,16,65503.6594695732,37424.0980303356,29334.7369791667,21146.6883333333,0.9921,0.9966,"0.9911"
1,2,97,16,39671.9657885175,37749.4966819195,31190.4166666667,22749.36,0.9935,0.9743,"0.9908"
1,2,98,16,19927.5000815921,19948.1457642207,18667.6333333333,18667.6333333333,0.9991,0.9983,"No need to compare!"
1,2,99,16,26704.1630542597,26705.9686035931,27486.8489583333,28204.3833333333,0.9722,0.9951,"0.9687"
1,2,100,16,21821.1991193176,21719.7389864273,20277.4305555555,15737.345,0.9538,0.9041,"0.9957"
1,3,1,16,32432.6325970698,29283.3769439105,28714.25,28714.25,0.9918,0.9963,"No need to compare!"
1,3,2,16,52965.0137457347,40486.654673188,19296.3489583333,17899.845,0.9979,0.9991,"0.9966"
1,3,3,16,29316.9691979954,26061.1225003485,23222.6953125,23064.0116666667,0.9827,0.9957,"0.9869"
1,3,4,16,42343.8682497733,28493.2008396727,27912.7942708333,21292.2083333333,0.9976,0.9927,"0.997"
1,3,5,16,40017.5898018698,35714.0933639891,39729.9895833333,18539.9466666667,0.9959,0.9973,"0.9997"
1,3,6,16,61283.0166105051,56860.8320728707,26996.8645833333,21522.9983333333,0.9997,0.9785,"0.9986"
1,3,7,16,22236.4773599501,20853.9969190282,21066.1354166667,19687.12,0.9982,0.9961,"0.9988"
1,3,8,16,68704.4407680159,60913.3382813051,17622.0033333333,17622.0033333333,0.9972,0.9925,"No need to compare!"
1,3,9,16,226435.921561319,26572.3132449258,20503.9583333333,20371.0133333333,0.9926,0.9999,"0.9999"
1,3,10,16,43493.0231406271,23704.7424436688,18372.8935185185,17816.7316666667,0.9908,0.9994,"0.9908"
